Stazione,Latitudine,Longitudine,Data_Ora,CO (mg/m³),Direzione_Vento (°N),NO2 (µg/m³),NOx (ppb),NO (ppb),O3 (µg/m³),PM10 (µg/m³),PM2-5 (µg/m³),Precipitazione (mm),Pressione (mBar),Radiazione_Globale (W/m²),SO2 (µg/m³),Temperatura (°C),Umidità_Relativa (%),Velocità_Vento (m/s)
S_Nicola_di_Melfi,41.069444,15.7225,07/07/2021 19:00,0.45,54.0,-9999.0,-9999.0,-9999.0,93.16,,,0.0,993.37,69.86,5.56,34.7,27.1,2.02
S_Nicola_di_Melfi,41.069444,15.7225,07/07/2021 20:00,0.37,358.0,10.8,8.26,2.61,81.49,,,0.0,993.43,6.65,4.41,32.75,32.4,0.42
S_Nicola_di_Melfi,41.069444,15.7225,07/07/2021 21:00,0.34,10.0,37.79,34.06,14.28,35.36,,,0.0,993.66,0.38,5.41,30.83,38.92,0.09
S_Nicola_di_Melfi,41.069444,15.7225,07/07/2021 22:00,0.33,193.0,12.41,14.61,8.14,46.27,,,0.0,993.67,0.25,4.69,27.65,42.25,1.66
S_Nicola_di_Melfi,41.069444,15.7225,07/07/2021 23:00,0.31,191.0,4.63,9.32,6.9,42.08,,,0.0,993.58,0.25,4.18,25.11,48.91,0.97
S_Nicola_di_Melfi,41.069444,15.7225,08/07/2021 00:00,0.31,205.0,5.88,10.65,7.58,35.6,,,0.0,993.64,0.26,4.3,24.96,51.76,0.64
S_Nicola_di_Melfi,41.069444,15.7225,08/07/2021 01:00,0.31,189.0,4.06,10.28,8.16,34.69,,,0.0,993.72,0.34,4.01,23.74,54.59,0.51
S_Nicola_di_Melfi,41.069444,15.7225,08/07/2021 02:00,0.3,186.0,3.4,9.17,7.4,39.31,,,0.0,993.72,0.35,3.49,22.32,61.06,0.71
S_Nicola_di_Melfi,41.069444,15.7225,08/07/2021 03:00,0.33,36.0,7.52,11.45,7.51,48.17,,,0.0,993.65,0.33,3.56,22.9,63.67,0.15
S_Nicola_di_Melfi,41.069444,15.7225,08/07/2021 04:00,0.33,181.0,8.45,12.76,8.34,43.84,,,0.0,993.62,0.47,4.24,22.36,68.77,0.7
S_Nicola_di_Melfi,41.069444,15.7225,08/07/2021 05:00,0.35,211.0,17.29,21.2,12.16,37.83,,,0.0,993.94,9.64,4.34,22.24,68.64,0.04
S_Nicola_di_Melfi,41.069444,15.7225,08/07/2021 06:00,0.32,210.0,21.89,23.66,12.21,27.89,,,0.0,994.11,116.71,4.73,23.2,68.21,0.22
S_Nicola_di_Melfi,41.069444,15.7225,08/07/2021 07:00,0.35,212.0,19.18,20.7,10.67,48.78,,,0.0,994.46,293.24,5.3,26.34,59.61,0.0
S_Nicola_di_Melfi,41.069444,15.7225,08/07/2021 08:00,0.3,169.0,7.53,10.97,7.03,78.85,,,0.0,994.5,471.49,4.92,30.88,45.1,1.26
S_Nicola_di_Melfi,41.069444,15.7225,08/07/2021 09:00,0.3,343.0,17.34,14.27,5.2,101.6,,,0.0,996.49,617.96,5.75,33.53,39.94,0.79
S_Nicola_di_Melfi,41.069444,15.7225,08/07/2021 10:00,0.28,72.0,9.31,7.51,2.64,108.46,,,0.0,996.73,734.06,5.11,36.0,30.67,1.38
S_Nicola_di_Melfi,41.069444,15.7225,08/07/2021 11:00,0.28,98.0,5.26,4.58,1.83,112.68,,,0.0,996.51,798.8,4.7,37.29,25.57,2.52
S_Nicola_di_Melfi,41.069444,15.7225,08/07/2021 12:00,0.28,130.0,4.81,4.37,1.86,115.22,,,0.0,996.3,817.29,4.34,38.38,22.76,2.5
S_Nicola_di_Melfi,41.069444,15.7225,08/07/2021 13:00,0.32,84.0,16.78,15.28,6.5,111.15,,,0.0,996.4,785.83,4.67,39.32,21.26,1.14
S_Nicola_di_Melfi,41.069444,15.7225,08/07/2021 14:00,0.3,68.0,11.27,9.48,3.59,121.8,,,0.0,996.28,730.61,4.74,39.58,21.74,0.9
S_Nicola_di_Melfi,41.069444,15.7225,08/07/2021 15:00,0.34,36.0,14.03,10.88,3.54,121.11,,,0.0,996.2,602.68,5.41,39.99,21.96,4.16
S_Nicola_di_Melfi,41.069444,15.7225,08/07/2021 16:00,0.42,84.0,13.48,9.6,2.55,140.98,,,0.0,996.27,461.09,6.39,38.76,24.38,4.1
S_Nicola_di_Melfi,41.069444,15.7225,08/07/2021 17:00,0.39,75.0,11.38,9.09,3.14,128.58,,,0.0,996.22,321.12,7.42,38.11,23.46,3.06
S_Nicola_di_Melfi,41.069444,15.7225,08/07/2021 18:00,0.36,85.0,8.92,7.73,3.06,124.72,,,0.0,996.01,171.63,7.05,37.03,24.51,2.88
S_Nicola_di_Melfi,41.069444,15.7225,08/07/2021 19:00,0.48,55.0,15.69,10.8,2.6,112.94,,,0.0,995.93,60.37,8.57,36.39,26.61,0.33
S_Nicola_di_Melfi,41.069444,15.7225,08/07/2021 20:00,0.46,308.0,24.85,16.28,3.29,76.75,,,0.0,995.49,5.29,8.33,34.03,36.72,2.2
S_Nicola_di_Melfi,41.069444,15.7225,08/07/2021 21:00,0.38,296.0,25.49,20.52,7.19,71.09,,,0.0,995.7,0.06,6.49,32.17,40.33,2.15
S_Nicola_di_Melfi,41.069444,15.7225,08/07/2021 22:00,0.38,170.0,16.09,12.15,3.74,68.46,,,0.0,995.79,0.16,4.26,30.12,43.06,0.35
S_Nicola_di_Melfi,41.069444,15.7225,08/07/2021 23:00,0.39,297.0,10.35,8.89,3.48,79.74,,,0.0,995.9,0.03,5.4,29.77,45.89,2.27
S_Nicola_di_Melfi,41.069444,15.7225,09/07/2021 00:00,0.35,68.0,10.5,7.5,2.0,88.85,,,0.0,995.87,0.02,4.94,29.63,47.24,0.29
S_Nicola_di_Melfi,41.069444,15.7225,09/07/2021 01:00,0.34,293.0,8.96,5.99,1.31,85.88,,,0.0,995.69,0.08,4.61,29.73,46.15,3.09
S_Nicola_di_Melfi,41.069444,15.7225,09/07/2021 02:00,0.31,300.0,8.06,5.23,1.01,77.68,,,0.0,995.22,0.07,4.88,29.34,43.78,2.46
S_Nicola_di_Melfi,41.069444,15.7225,09/07/2021 03:00,0.29,270.0,3.78,3.59,1.62,75.7,,,0.0,994.84,0.07,4.33,29.33,39.36,1.28
S_Nicola_di_Melfi,41.069444,15.7225,09/07/2021 04:00,0.27,183.0,3.56,4.4,2.54,69.64,,,0.0,994.59,0.07,4.16,27.71,42.64,0.69
S_Nicola_di_Melfi,41.069444,15.7225,09/07/2021 05:00,0.26,196.0,4.15,5.55,3.37,59.35,,,0.0,994.57,5.9,4.16,26.49,43.74,2.4
S_Nicola_di_Melfi,41.069444,15.7225,09/07/2021 06:00,0.27,185.0,16.68,15.04,6.31,50.03,,,0.0,994.87,97.18,4.22,26.66,43.73,1.98
S_Nicola_di_Melfi,41.069444,15.7225,09/07/2021 07:00,0.28,181.0,14.6,14.58,6.95,50.67,,,0.0,995.69,265.57,4.57,29.26,39.25,0.43
S_Nicola_di_Melfi,41.069444,15.7225,09/07/2021 08:00,0.3,314.0,10.36,9.68,4.26,70.46,,,0.0,996.01,445.47,6.68,31.33,35.59,4.15
S_Nicola_di_Melfi,41.069444,15.7225,09/07/2021 09:00,0.27,320.0,5.22,4.66,1.93,78.45,,,0.0,996.15,467.97,5.66,31.56,40.95,4.26
S_Nicola_di_Melfi,41.069444,15.7225,09/07/2021 10:00,0.25,316.0,6.84,5.51,1.93,80.9,,,0.0,996.09,708.82,5.17,32.63,37.86,3.95
S_Nicola_di_Melfi,41.069444,15.7225,09/07/2021 11:00,0.26,309.0,6.05,4.61,1.44,84.92,,,0.0,996.05,750.0,4.94,33.41,37.98,3.43
S_Nicola_di_Melfi,41.069444,15.7225,09/07/2021 12:00,0.25,337.0,6.41,5.57,2.21,86.1,,,0.0,995.63,801.8,4.87,34.64,35.85,2.63
S_Nicola_di_Melfi,41.069444,15.7225,09/07/2021 13:00,0.28,322.0,14.57,14.88,7.26,85.95,,,0.0,994.92,766.92,4.83,35.71,34.2,3.21
S_Nicola_di_Melfi,41.069444,15.7225,09/07/2021 14:00,0.29,321.0,10.72,9.08,3.48,93.09,,,0.0,994.63,739.38,5.51,36.75,29.79,3.39
S_Nicola_di_Melfi,41.069444,15.7225,09/07/2021 15:00,0.28,25.0,7.36,6.17,2.33,91.97,,,0.0,994.58,599.81,5.11,36.68,30.95,4.46
S_Nicola_di_Melfi,41.069444,15.7225,09/07/2021 16:00,0.26,26.0,6.76,6.95,3.41,85.83,,,0.0,994.83,495.5,4.63,35.61,34.53,3.71
S_Nicola_di_Melfi,41.069444,15.7225,09/07/2021 17:00,0.28,35.0,7.35,7.65,3.81,90.77,,,0.0,994.34,345.79,5.29,34.82,36.56,3.98
S_Nicola_di_Melfi,41.069444,15.7225,09/07/2021 18:00,0.29,340.0,7.95,7.81,3.65,93.12,,,0.0,994.39,192.65,5.38,33.45,37.91,3.15
S_Nicola_di_Melfi,41.069444,15.7225,09/07/2021 19:00,0.26,342.0,6.2,5.29,2.05,87.77,,,0.0,994.32,66.01,3.74,32.24,39.18,2.42
S_Nicola_di_Melfi,41.069444,15.7225,09/07/2021 20:00,0.27,317.0,5.38,4.65,1.83,79.72,,,0.0,994.6,7.12,3.33,29.75,43.24,2.98
S_Nicola_di_Melfi,41.069444,15.7225,09/07/2021 21:00,0.28,306.0,12.02,10.41,4.12,75.35,,,0.0,994.96,0.13,4.3,28.04,45.82,2.88
S_Nicola_di_Melfi,41.069444,15.7225,09/07/2021 22:00,0.3,310.0,10.82,7.76,2.11,71.99,,,0.0,995.22,0.03,5.05,26.79,46.41,2.6
S_Nicola_di_Melfi,41.069444,15.7225,09/07/2021 23:00,0.27,321.0,8.29,5.98,1.64,69.26,,,0.0,995.59,0.03,5.04,25.7,49.01,1.0
S_Nicola_di_Melfi,41.069444,15.7225,10/07/2021 00:00,0.31,217.0,1.21,3.58,3.0,65.32,,,0.0,995.46,0.04,3.61,24.06,51.44,0.82
S_Nicola_di_Melfi,41.069444,15.7225,10/07/2021 01:00,0.28,187.0,0.47,4.06,3.95,49.5,,,0.0,995.16,0.06,3.08,21.84,58.55,1.14
S_Nicola_di_Melfi,41.069444,15.7225,10/07/2021 02:00,0.26,194.0,0.2,4.63,4.74,44.34,,,0.0,994.84,0.07,2.97,20.35,65.019,0.31
S_Nicola_di_Melfi,41.069444,15.7225,10/07/2021 03:00,0.28,184.0,0.06,5.15,5.66,41.68,,,0.0,994.32,0.14,3.04,19.79,65.18,0.61
S_Nicola_di_Melfi,41.069444,15.7225,10/07/2021 04:00,0.28,205.0,1.12,7.05,6.73,38.99,,,0.0,993.85,0.17,2.9,19.36,66.59,1.04
S_Nicola_di_Melfi,41.069444,15.7225,10/07/2021 05:00,0.3,284.0,13.51,21.62,14.58,31.83,,,0.0,993.62,10.25,3.61,19.61,71.31,0.87
S_Nicola_di_Melfi,41.069444,15.7225,10/07/2021 06:00,0.3,187.0,4.97,10.62,8.03,32.06,,,0.0,993.46,144.61,3.16,19.59,72.6,0.28
S_Nicola_di_Melfi,41.069444,15.7225,10/07/2021 07:00,0.27,175.0,3.9,9.41,7.37,45.76,,,0.0,993.62,326.55,3.3,23.59,64.66,0.0
S_Nicola_di_Melfi,41.069444,15.7225,10/07/2021 08:00,0.27,352.0,4.61,8.97,6.6,66.02,,,0.0,993.82,501.45,3.37,26.54,50.8,0.28
S_Nicola_di_Melfi,41.069444,15.7225,10/07/2021 09:00,0.25,326.0,2.06,3.17,2.11,88.75,,,0.0,993.78,653.32,2.94,28.9,35.35,2.74
S_Nicola_di_Melfi,41.069444,15.7225,10/07/2021 10:00,0.25,314.0,1.9,1.91,0.92,94.36,,,0.0,993.69,762.45,2.55,30.17,28.39,2.21
S_Nicola_di_Melfi,41.069444,15.7225,10/07/2021 11:00,0.24,320.0,2.74,2.41,0.98,94.93,,,0.0,993.68,843.5,2.48,31.4,23.17,2.83
S_Nicola_di_Melfi,41.069444,15.7225,10/07/2021 12:00,0.23,324.0,3.39,2.94,1.17,98.28,,,0.0,993.45,860.58,2.47,32.1,22.0,2.74
S_Nicola_di_Melfi,41.069444,15.7225,10/07/2021 13:00,0.25,320.0,5.58,4.69,1.77,99.08,,,0.0,992.95,835.87,2.58,32.82,22.17,2.77
S_Nicola_di_Melfi,41.069444,15.7225,10/07/2021 14:00,0.24,326.0,5.02,4.36,1.74,101.25,,,0.0,992.33,761.69,2.84,33.42,22.44,3.16
S_Nicola_di_Melfi,41.069444,15.7225,10/07/2021 15:00,0.23,322.0,2.67,2.16,0.76,104.79,,,0.0,991.7,657.55,3.0,33.84,23.7,3.53
S_Nicola_di_Melfi,41.069444,15.7225,10/07/2021 16:00,0.25,19.0,2.24,2.0,0.84,108.18,,,0.0,991.16,509.98,4.4,33.42,27.31,3.54
S_Nicola_di_Melfi,41.069444,15.7225,10/07/2021 17:00,0.25,339.0,2.39,1.54,0.35,113.09,,,0.0,990.73,354.13,4.33,32.97,28.68,4.18
S_Nicola_di_Melfi,41.069444,15.7225,10/07/2021 18:00,0.25,26.0,2.35,1.48,0.51,109.95,,,0.0,990.8,198.2,2.39,32.33,29.1,3.73
S_Nicola_di_Melfi,41.069444,15.7225,10/07/2021 19:00,0.26,340.0,2.74,2.28,0.84,101.58,,,0.0,991.34,68.06,3.11,31.43,28.91,3.29
S_Nicola_di_Melfi,41.069444,15.7225,10/07/2021 20:00,0.26,328.0,2.28,1.74,0.56,96.98,,,0.0,992.15,6.7,3.07,29.24,33.34,2.55
S_Nicola_di_Melfi,41.069444,15.7225,10/07/2021 21:00,0.3,309.0,5.26,3.72,0.98,98.69,,,0.0,992.58,0.17,4.13,27.71,39.8,2.54
S_Nicola_di_Melfi,41.069444,15.7225,10/07/2021 22:00,0.29,222.0,7.26,5.41,1.62,73.9,,,0.0,992.84,0.19,3.04,25.64,44.2,0.81
S_Nicola_di_Melfi,41.069444,15.7225,10/07/2021 23:00,0.28,215.0,2.73,4.52,3.09,66.22,,,0.0,992.56,0.21,2.44,23.24,50.83,0.78
S_Nicola_di_Melfi,41.069444,15.7225,11/07/2021 00:00,0.28,210.0,2.48,5.15,3.87,56.89,,,0.0,992.37,0.25,2.26,21.37,56.62,0.49
S_Nicola_di_Melfi,41.069444,15.7225,11/07/2021 01:00,0.27,206.0,1.01,4.1,3.58,59.31,,,0.0,991.78,0.35,2.5,21.1,57.61,0.21
S_Nicola_di_Melfi,41.069444,15.7225,11/07/2021 02:00,0.27,205.0,0.54,4.33,4.14,50.36,,,0.0,991.27,0.24,2.75,20.45,59.84,0.25
S_Nicola_di_Melfi,41.069444,15.7225,11/07/2021 03:00,0.26,205.0,0.5,4.88,4.71,49.48,,,0.0,991.12,0.22,2.59,20.22,61.63,0.29
S_Nicola_di_Melfi,41.069444,15.7225,11/07/2021 04:00,0.26,219.0,1.19,5.32,4.72,47.27,,,0.0,990.82,0.21,3.01,20.31,61.34,0.56
S_Nicola_di_Melfi,41.069444,15.7225,11/07/2021 05:00,0.27,221.0,3.35,7.24,5.49,44.08,,,0.0,991.02,9.8,3.33,19.98,63.36,0.07
S_Nicola_di_Melfi,41.069444,15.7225,11/07/2021 06:00,0.28,268.0,2.95,7.18,5.65,40.54,,,0.0,991.02,131.74,3.44,21.2,62.55,0.43
S_Nicola_di_Melfi,41.069444,15.7225,11/07/2021 07:00,0.26,260.0,2.84,6.8,5.36,49.23,,,0.0,991.19,308.06,3.96,24.44,55.08,0.11
S_Nicola_di_Melfi,41.069444,15.7225,11/07/2021 08:00,0.25,250.0,3.59,4.9,3.03,92.02,,,0.0,991.24,478.91,3.72,28.69,45.65,2.53
S_Nicola_di_Melfi,41.069444,15.7225,11/07/2021 09:00,0.25,292.0,4.05,3.02,0.9,104.0,,,0.0,991.71,530.0,3.46,30.14,43.02,2.37
S_Nicola_di_Melfi,41.069444,15.7225,11/07/2021 10:00,0.25,290.0,1.48,1.18,0.43,105.59,,,0.0,991.88,693.87,3.49,31.43,37.26,3.73
S_Nicola_di_Melfi,41.069444,15.7225,11/07/2021 11:00,0.23,304.0,0.91,0.95,0.57,111.24,,,0.0,991.9,746.46,3.72,32.52,30.75,4.42
S_Nicola_di_Melfi,41.069444,15.7225,11/07/2021 12:00,0.22,303.0,1.3,0.99,0.36,108.49,,,0.0,991.68,866.27,3.26,33.45,25.92,3.51
S_Nicola_di_Melfi,41.069444,15.7225,11/07/2021 13:00,0.22,299.0,2.63,1.84,0.48,109.57,,,0.0,991.19,850.43,3.3,34.1,25.43,4.22
S_Nicola_di_Melfi,41.069444,15.7225,11/07/2021 14:00,0.23,288.0,2.39,1.98,0.76,111.53,,,0.0,990.75,792.2,3.53,34.69,24.0,3.9
S_Nicola_di_Melfi,41.069444,15.7225,11/07/2021 15:00,0.23,299.0,1.45,1.11,0.46,114.76,,,0.0,990.65,651.33,4.27,35.12,23.33,4.08
S_Nicola_di_Melfi,41.069444,15.7225,11/07/2021 16:00,0.24,313.0,0.39,0.55,0.46,116.81,,,0.0,990.74,198.92,3.84,33.92,29.49,3.31
S_Nicola_di_Melfi,41.069444,15.7225,11/07/2021 17:00,0.24,97.0,1.94,0.8,0.27,114.57,,,0.0,990.8,73.34,1.47,32.159,37.11,2.46
S_Nicola_di_Melfi,41.069444,15.7225,11/07/2021 18:00,0.22,295.0,3.96,2.59,0.57,108.6,,,0.0,991.15,138.82,3.44,32.09,36.63,6.29
S_Nicola_di_Melfi,41.069444,15.7225,11/07/2021 19:00,0.22,288.0,0.4,0.53,0.47,108.53,,,0.0,991.66,69.52,3.22,31.23,39.13,5.86
S_Nicola_di_Melfi,41.069444,15.7225,11/07/2021 20:00,0.23,278.0,2.36,1.93,0.73,91.73,,,0.0,991.88,7.96,3.62,29.46,47.26,3.39
S_Nicola_di_Melfi,41.069444,15.7225,11/07/2021 21:00,0.22,285.0,1.62,1.65,0.81,85.61,,,0.0,992.14,0.0,4.46,27.96,51.64,3.01
S_Nicola_di_Melfi,41.069444,15.7225,11/07/2021 22:00,0.22,284.0,1.06,1.52,0.97,86.42,,,0.0,992.71,0.01,3.92,27.23,52.22,2.36
S_Nicola_di_Melfi,41.069444,15.7225,11/07/2021 23:00,0.22,290.0,2.07,2.15,1.08,81.44,,,0.0,992.97,0.01,4.07,26.46,53.43,2.13
S_Nicola_di_Melfi,41.069444,15.7225,12/07/2021 00:00,0.23,256.0,2.47,2.76,1.47,74.95,,,0.0,993.03,0.02,3.55,25.6,54.78,0.2
S_Nicola_di_Melfi,41.069444,15.7225,12/07/2021 01:00,0.23,282.0,1.22,2.94,2.32,70.72,,,0.0,992.96,0.01,3.82,24.46,59.79,1.18
S_Nicola_di_Melfi,41.069444,15.7225,12/07/2021 02:00,0.22,275.0,0.49,1.98,1.81,75.63,,,0.0,993.03,0.02,3.87,24.18,61.62,1.44
S_Nicola_di_Melfi,41.069444,15.7225,12/07/2021 03:00,0.22,289.0,1.42,1.8,1.11,78.83,,,0.0,992.78,0.03,3.53,24.1,60.51,1.39
S_Nicola_di_Melfi,41.069444,15.7225,12/07/2021 04:00,0.23,308.0,6.54,5.44,2.02,72.43,,,0.0,992.7,0.07,3.45,23.85,59.29,0.25
S_Nicola_di_Melfi,41.069444,15.7225,12/07/2021 05:00,0.25,76.0,19.37,17.46,7.32,57.97,,,0.0,992.65,6.69,3.06,22.69,62.04,0.19
S_Nicola_di_Melfi,41.069444,15.7225,12/07/2021 06:00,0.22,210.0,17.66,14.76,5.53,56.54,,,0.0,992.73,126.6,3.21,23.5,59.4,0.33
S_Nicola_di_Melfi,41.069444,15.7225,12/07/2021 07:00,0.22,107.0,5.91,7.29,4.2,68.61,,,0.0,993.21,307.5,3.16,25.68,52.54,0.74
S_Nicola_di_Melfi,41.069444,15.7225,12/07/2021 08:00,0.23,279.0,5.63,5.24,2.3,87.72,,,0.0,993.6,479.68,3.18,28.07,41.27,2.83
S_Nicola_di_Melfi,41.069444,15.7225,12/07/2021 09:00,0.23,279.0,4.08,3.47,1.34,89.46,,,0.0,994.01,626.01,3.08,29.38,39.75,3.43
S_Nicola_di_Melfi,41.069444,15.7225,12/07/2021 10:00,0.23,273.0,4.64,3.87,1.45,93.14,,,0.0,993.97,729.89,3.16,30.79,38.01,1.98
S_Nicola_di_Melfi,41.069444,15.7225,12/07/2021 11:00,0.23,52.0,6.67,5.03,1.55,102.58,,,0.0,993.87,812.96,3.1,32.009,35.87,1.62
S_Nicola_di_Melfi,41.069444,15.7225,12/07/2021 12:00,0.22,76.0,5.99,3.85,0.72,111.29,,,0.0,993.31,841.34,3.49,33.0,33.6,1.95
S_Nicola_di_Melfi,41.069444,15.7225,12/07/2021 13:00,0.22,104.0,6.08,3.94,0.77,115.68,,,0.0,992.62,814.25,3.45,33.97,30.04,2.58
S_Nicola_di_Melfi,41.069444,15.7225,12/07/2021 14:00,0.21,69.0,4.06,2.42,0.34,118.22,,,0.0,991.9,742.41,4.18,34.69,27.22,1.83
S_Nicola_di_Melfi,41.069444,15.7225,12/07/2021 15:00,0.21,345.0,5.45,3.62,0.78,118.95,,,0.0,991.51,625.14,3.8,35.56,25.07,2.05
S_Nicola_di_Melfi,41.069444,15.7225,12/07/2021 16:00,0.21,92.0,3.31,2.12,0.48,118.58,,,0.0,991.28,488.78,3.58,35.38,27.11,4.35
S_Nicola_di_Melfi,41.069444,15.7225,12/07/2021 17:00,0.22,63.0,1.54,1.03,0.29,112.13,,,0.0,991.21,335.96,3.34,33.74,30.95,4.31
S_Nicola_di_Melfi,41.069444,15.7225,12/07/2021 18:00,0.22,79.0,3.9,2.43,0.42,110.49,,,0.0,991.39,185.42,3.79,32.95,31.86,3.03
S_Nicola_di_Melfi,41.069444,15.7225,12/07/2021 19:00,0.22,56.0,4.29,2.92,0.68,103.13,,,0.0,991.83,64.91,3.55,31.83,34.45,2.05
S_Nicola_di_Melfi,41.069444,15.7225,12/07/2021 20:00,0.22,142.0,6.41,4.04,0.69,93.43,,,0.0,991.83,5.9,3.23,30.16,37.16,0.1
S_Nicola_di_Melfi,41.069444,15.7225,12/07/2021 21:00,0.23,141.0,7.23,5.13,1.35,82.25,,,0.0,991.69,0.11,3.07,28.73,39.54,0.06
S_Nicola_di_Melfi,41.069444,15.7225,12/07/2021 22:00,0.29,141.0,22.66,16.04,4.18,57.88,,,0.0,992.01,0.1,3.89,27.33,43.03,0.04
S_Nicola_di_Melfi,41.069444,15.7225,12/07/2021 23:00,0.31,295.0,14.36,10.78,3.27,56.44,,,0.0,992.44,0.1,3.8,26.58,46.58,1.47
S_Nicola_di_Melfi,41.069444,15.7225,13/07/2021 00:00,0.27,198.0,4.54,5.83,3.45,57.85,,,0.0,992.23,0.08,3.29,24.91,52.72,1.5
S_Nicola_di_Melfi,41.069444,15.7225,13/07/2021 01:00,0.26,175.0,2.7,5.15,3.74,58.77,,,0.0,991.68,0.11,3.25,24.01,56.67,1.05
S_Nicola_di_Melfi,41.069444,15.7225,13/07/2021 02:00,0.24,181.0,1.51,3.84,3.05,68.2,,,0.0,991.34,0.11,3.1,24.25,59.17,1.43
S_Nicola_di_Melfi,41.069444,15.7225,13/07/2021 03:00,0.24,224.0,4.82,5.72,3.19,56.22,,,0.0,991.17,0.11,3.2,23.47,62.8,0.18
S_Nicola_di_Melfi,41.069444,15.7225,13/07/2021 04:00,0.27,220.0,8.28,9.21,4.88,46.58,,,0.0,990.69,0.12,3.26,21.98,67.66,0.33
S_Nicola_di_Melfi,41.069444,15.7225,13/07/2021 05:00,0.3,299.0,12.27,12.85,6.43,44.81,,,0.0,990.09,5.46,3.78,21.65,69.75,0.29
S_Nicola_di_Melfi,41.069444,15.7225,13/07/2021 06:00,0.29,162.0,19.51,19.85,9.65,36.43,,,0.0,989.84,84.24,3.85,21.97,67.93,1.15
S_Nicola_di_Melfi,41.069444,15.7225,13/07/2021 07:00,0.25,227.0,9.16,11.43,6.64,54.12,,,0.0,990.03,235.92,3.4,24.29,55.65,0.72
S_Nicola_di_Melfi,41.069444,15.7225,13/07/2021 08:00,0.25,341.0,13.53,13.06,5.98,65.02,,,0.0,990.02,407.49,3.66,27.35,48.23,1.36
S_Nicola_di_Melfi,41.069444,15.7225,13/07/2021 09:00,0.25,50.0,20.36,14.23,3.58,87.49,,,0.0,990.2,559.73,4.98,30.23,39.33,0.68
S_Nicola_di_Melfi,41.069444,15.7225,13/07/2021 10:00,0.24,63.0,11.88,7.91,1.7,102.08,,,0.0,990.23,670.36,4.13,33.61,28.75,0.81
S_Nicola_di_Melfi,41.069444,15.7225,13/07/2021 11:00,0.22,147.0,6.02,3.97,0.83,103.21,,,0.0,990.07,745.7,3.42,36.12,19.82,1.91
S_Nicola_di_Melfi,41.069444,15.7225,13/07/2021 12:00,0.23,251.0,7.67,6.22,2.22,89.2,,,0.0,989.61,776.29,3.0,37.64,15.31,3.79
S_Nicola_di_Melfi,41.069444,15.7225,13/07/2021 13:00,0.25,270.0,14.71,13.5,5.8,87.04,,,0.0,989.39,744.05,3.75,37.84,16.86,4.49
S_Nicola_di_Melfi,41.069444,15.7225,13/07/2021 14:00,0.23,266.0,10.77,8.39,2.75,89.52,,,0.0,989.63,610.64,3.38,38.14,17.57,5.4
S_Nicola_di_Melfi,41.069444,15.7225,13/07/2021 15:00,0.23,252.0,6.43,4.89,1.54,94.29,,,0.0,990.33,503.13,2.84,36.5,18.4,5.39
S_Nicola_di_Melfi,41.069444,15.7225,13/07/2021 16:00,0.21,248.0,6.86,5.52,1.93,89.96,,,0.0,989.94,341.33,2.85,36.08,19.69,4.27
S_Nicola_di_Melfi,41.069444,15.7225,13/07/2021 17:00,0.22,230.0,7.32,6.3,2.48,87.33,,,0.0,988.7,186.44,3.03,35.12,21.8,2.68
S_Nicola_di_Melfi,41.069444,15.7225,13/07/2021 18:00,0.29,182.0,4.23,2.88,0.67,89.06,,,0.0,988.02,70.42,4.58,34.11,23.57,4.23
S_Nicola_di_Melfi,41.069444,15.7225,13/07/2021 19:00,0.29,216.0,7.73,5.65,1.6,75.91,,,0.0,987.96,42.52,4.39,33.57,25.1,1.4
S_Nicola_di_Melfi,41.069444,15.7225,13/07/2021 20:00,0.22,286.0,5.16,4.05,1.35,77.43,,,0.0,988.18,13.81,3.31,32.369,26.8,2.76
S_Nicola_di_Melfi,41.069444,15.7225,13/07/2021 21:00,0.25,264.0,16.43,12.87,4.28,60.64,,,0.0,988.9,0.03,3.12,30.18,30.5,1.07
S_Nicola_di_Melfi,41.069444,15.7225,13/07/2021 22:00,0.29,341.0,14.25,11.85,4.39,53.93,,,0.0,989.13,0.03,3.59,28.3,34.43,0.5
S_Nicola_di_Melfi,41.069444,15.7225,13/07/2021 23:00,0.22,262.0,4.33,4.6,2.34,78.39,,,0.0,989.09,0.05,3.29,29.01,31.24,1.73
S_Nicola_di_Melfi,41.069444,15.7225,14/07/2021 00:00,0.23,217.0,1.86,1.65,0.69,75.49,,,0.0,988.68,0.04,3.32,28.65,31.42,2.14
S_Nicola_di_Melfi,41.069444,15.7225,14/07/2021 01:00,0.24,291.0,4.19,3.5,1.34,77.35,,,0.0,988.65,0.05,3.64,28.47,32.07,2.009
S_Nicola_di_Melfi,41.069444,15.7225,14/07/2021 02:00,0.2,242.0,1.23,1.05,0.52,89.82,,,0.0,989.03,0.04,3.6,29.48,32.78,3.15
S_Nicola_di_Melfi,41.069444,15.7225,14/07/2021 03:00,0.22,255.0,1.28,0.82,0.25,91.72,,,0.0,989.01,0.03,3.84,29.46,34.34,1.48
S_Nicola_di_Melfi,41.069444,15.7225,14/07/2021 04:00,0.2,260.0,1.82,1.26,0.42,91.69,,,0.0,988.77,0.02,4.13,29.17,35.64,3.63
S_Nicola_di_Melfi,41.069444,15.7225,14/07/2021 05:00,0.22,251.0,13.33,10.77,3.82,78.54,,,0.0,989.09,5.06,4.13,28.35,38.14,2.84
