Stazione,Latitudine,Longitudine,Data_Ora,Benzene (µg/m³),CO (mg/m³),Direzione_Vento (°N),Etilbenzene (µg/m³),H2S (µg/m³),Metano (ugC/m³),NMHC (ugC/m³),NO2 (µg/m³),NOx (µg/m³),NO (µg/m³),o-Xilene (µg/m³),O3 (µg/m³),PM10 (µg/m³),PM2-5 (µg/m³),Precipitazione (mm),Pressione (hPa),Radiazione_Globale (W/m²),Radiazione_Netta (W/m²),SO2 (µg/m³),Temperatura (°C),Toluene (µg/m³),Umidità_Relativa (%),Velocità_Vento (m/s),Xilene (µg/m³)
Grumento3,40.313888,15.904444,28/08/2022 10:00,0.23,0.49,240.0,0.04,2.41,1005.29,15.78,5.53,10.29,3.1,0.03,102.09,,,0.0,923.75,204.55,174.76,2.07,23.17,0.09,69.79,2.65,0.03
Grumento3,40.313888,15.904444,28/08/2022 11:00,0.24,0.49,211.0,0.04,2.59,982.92,21.55,3.8,6.49,1.76,0.03,108.62,,,0.0,923.34,308.2,204.87,1.81,23.9,0.09,64.81,5.04,0.03
Grumento3,40.313888,15.904444,28/08/2022 12:00,0.2,0.53,217.0,0.04,2.53,971.34,17.87,3.53,6.24,1.77,0.02,114.53,,,0.0,923.11,327.32,103.55,1.92,24.85,0.09,63.77,5.73,0.03
Grumento3,40.313888,15.904444,28/08/2022 13:00,0.25,0.53,221.0,0.05,2.74,973.56,22.73,3.51,6.21,1.76,0.02,111.67,,,0.0,923.04,373.64,130.1,1.68,24.56,0.09,61.33,6.11,0.03
Grumento3,40.313888,15.904444,28/08/2022 14:00,0.23,0.5,223.0,0.04,2.62,972.47,23.01,3.51,6.18,1.74,0.02,115.42,,,0.0,922.68,620.77,294.98,1.63,25.21,0.09,56.29,5.98,0.03
Grumento3,40.313888,15.904444,28/08/2022 15:00,0.23,0.47,221.0,0.04,2.6,969.39,24.55,3.51,6.11,1.69,0.02,116.74,,,0.0,922.22,714.79,770.57,1.51,26.05,0.09,50.71,7.2,0.04
Grumento3,40.313888,15.904444,28/08/2022 16:00,0.25,0.47,232.0,0.04,2.38,969.04,19.87,3.52,6.18,1.73,0.04,113.74,,,0.0,922.32,482.79,563.74,1.19,25.26,0.09,54.12,6.68,0.02
Grumento3,40.313888,15.904444,28/08/2022 17:00,0.22,0.4,249.0,0.04,2.24,978.88,29.17,4.56,18.9,9.35,0.02,121.39,,,0.0,922.23,144.37,295.15,1.32,23.71,0.09,49.68,8.55,0.03
Grumento3,40.313888,15.904444,28/08/2022 18:00,0.3,0.36,252.0,0.04,2.48,985.57,22.41,10.84,103.83,60.65,0.03,116.71,,,0.0,922.11,153.86,250.8,-9999.0,23.43,0.09,50.7,7.3,0.04
Grumento3,40.313888,15.904444,28/08/2022 19:00,0.24,0.33,245.0,0.04,2.58,992.4,19.15,3.5,6.04,1.66,0.03,121.12,,,0.0,922.06,9.52,-17.23,2.09,21.06,0.09,58.52,8.73,0.03
