Stazione,Latitudine,Longitudine,Data_Ora,CO (mg/m³),PM10 (µg/m³)
Potenza_viale_Firenze,40.313888,15.904444,13/01/2022 02:00,0.44,12.82
Potenza_viale_Firenze,40.313888,15.904444,13/01/2022 03:00,0.45,20.54
Potenza_viale_Firenze,40.313888,15.904444,13/01/2022 04:00,0.46,26.21
Potenza_viale_Firenze,40.313888,15.904444,13/01/2022 05:00,0.44,22.71
Potenza_viale_Firenze,40.313888,15.904444,13/01/2022 06:00,0.45,12.31
Potenza_viale_Firenze,40.313888,15.904444,13/01/2022 07:00,0.45,21.42
Potenza_viale_Firenze,40.313888,15.904444,13/01/2022 08:00,0.56,23.29
Potenza_viale_Firenze,40.313888,15.904444,13/01/2022 09:00,0.71,11.03
Potenza_viale_Firenze,40.313888,15.904444,13/01/2022 10:00,0.54,10.57
Potenza_viale_Firenze,40.313888,15.904444,13/01/2022 11:00,0.54,15.43
Potenza_viale_Firenze,40.313888,15.904444,13/01/2022 12:00,0.52,21.29
Potenza_viale_Firenze,40.313888,15.904444,13/01/2022 13:00,0.52,24.91
Potenza_viale_Firenze,40.313888,15.904444,13/01/2022 14:00,0.57,21.12
Potenza_viale_Firenze,40.313888,15.904444,13/01/2022 15:00,0.49,24.87
Potenza_viale_Firenze,40.313888,15.904444,13/01/2022 16:00,0.53,19.8
Potenza_viale_Firenze,40.313888,15.904444,13/01/2022 17:00,0.59,9.25
Potenza_viale_Firenze,40.313888,15.904444,13/01/2022 18:00,1.42,8.77
Potenza_viale_Firenze,40.313888,15.904444,13/01/2022 19:00,1.6,19.19
Potenza_viale_Firenze,40.313888,15.904444,13/01/2022 20:00,1.16,51.2
Potenza_viale_Firenze,40.313888,15.904444,13/01/2022 21:00,0.68,28.95
Potenza_viale_Firenze,40.313888,15.904444,13/01/2022 22:00,0.69,14.95
Potenza_viale_Firenze,40.313888,15.904444,13/01/2022 23:00,0.55,26.66
Potenza_viale_Firenze,40.313888,15.904444,14/01/2022 00:00,0.57,18.8
Potenza_viale_Firenze,40.313888,15.904444,14/01/2022 01:00,0.61,21.55
Potenza_viale_Firenze,40.313888,15.904444,14/01/2022 02:00,0.48,25.2
Potenza_viale_Firenze,40.313888,15.904444,14/01/2022 03:00,0.45,27.85
