Stazione,Latitudine,Longitudine,Data_Ora,Benzene (µg/m³),CO (mg/m³),Etilbenzene (µg/m³),mp-Xilene (µg/m³),o-Xilene (µg/m³),PM10 (µg/m³),Toluene (µg/m³)
Potenza_Viale_Unicef,40.627777,15.796388,08/01/2021 20:00,1.24,0.33,0.4,2.09,0.45,19.1,1.67
Potenza_Viale_Unicef,40.627777,15.796388,08/01/2021 21:00,0.75,0.31,0.11,1.04,0.15,20.59,1.02
Potenza_Viale_Unicef,40.627777,15.796388,08/01/2021 22:00,0.61,0.3,0.11,1.04,0.15,26.33,1.02
Potenza_Viale_Unicef,40.627777,15.796388,08/01/2021 23:00,0.61,0.28,0.11,0.89,0.16,13.16,0.85
Potenza_Viale_Unicef,40.627777,15.796388,09/01/2021 00:00,0.61,0.29,0.11,0.84,0.16,17.73,0.79
Potenza_Viale_Unicef,40.627777,15.796388,09/01/2021 01:00,0.61,0.26,0.11,0.6,0.1,16.91,0.56
Potenza_Viale_Unicef,40.627777,15.796388,09/01/2021 02:00,0.61,0.27,0.11,0.5,0.15,25.2,0.56
Potenza_Viale_Unicef,40.627777,15.796388,09/01/2021 03:00,0.46,0.22,0.11,0.63,0.15,41.09,0.96
Potenza_Viale_Unicef,40.627777,15.796388,09/01/2021 04:00,0.23,0.19,0.11,0.52,0.1,13.98,0.61
Potenza_Viale_Unicef,40.627777,15.796388,09/01/2021 05:00,0.2,0.22,0.11,0.51,0.1,9.38,0.55
Potenza_Viale_Unicef,40.627777,15.796388,09/01/2021 06:00,0.41,0.24,0.11,0.51,0.1,9.77,0.55
Potenza_Viale_Unicef,40.627777,15.796388,09/01/2021 07:00,0.44,0.28,0.11,0.51,0.09,13.46,0.56
Potenza_Viale_Unicef,40.627777,15.796388,09/01/2021 08:00,0.59,0.34,0.11,0.96,0.16,14.96,0.79
Potenza_Viale_Unicef,40.627777,15.796388,09/01/2021 09:00,0.81,0.36,0.2,1.09,0.15,18.03,0.96
Potenza_Viale_Unicef,40.627777,15.796388,09/01/2021 10:00,0.72,0.32,0.22,1.11,0.16,20.52,1.02
Potenza_Viale_Unicef,40.627777,15.796388,09/01/2021 11:00,0.64,0.28,0.3,1.19,0.15,20.39,1.0
Potenza_Viale_Unicef,40.627777,15.796388,09/01/2021 12:00,0.61,-9999.0,0.25,1.14,0.14,21.35,0.6
Potenza_Viale_Unicef,40.627777,15.796388,09/01/2021 13:00,0.61,0.29,0.23,1.17,0.16,22.28,0.73
Potenza_Viale_Unicef,40.627777,15.796388,09/01/2021 14:00,0.61,0.34,0.32,1.19,0.17,20.76,0.62
Potenza_Viale_Unicef,40.627777,15.796388,09/01/2021 15:00,0.61,0.3,0.25,1.14,0.16,26.1,0.56
Potenza_Viale_Unicef,40.627777,15.796388,09/01/2021 16:00,0.61,0.26,0.11,0.59,0.1,34.91,0.55
Potenza_Viale_Unicef,40.627777,15.796388,09/01/2021 17:00,0.61,0.28,0.11,0.52,0.1,47.64,0.55
Potenza_Viale_Unicef,40.627777,15.796388,09/01/2021 18:00,0.61,0.31,0.11,0.52,0.1,45.62,0.56
Potenza_Viale_Unicef,40.627777,15.796388,09/01/2021 19:00,0.82,0.35,0.11,0.63,0.09,45.71,0.56
Potenza_Viale_Unicef,40.627777,15.796388,09/01/2021 20:00,0.84,0.35,0.11,0.85,0.16,39.83,0.96
